All Star Tennis '99,Smart Dog,Ubisoft,31 de agosto de 1999
All Star Tennis 2000,,Ubisoft,18 de agosto del 2000
All Star Watersports,,Phoenix Games,
Allied General,SSI,SSI,1996
Alone in the Dark: Jack Is Back,Infogrames,Interplay,
Alone in the Dark: One-Eyed Jack's Revenge,Infogrames,Interplay,
Alone in the Dark: The New Nightmare,Infogrames,Darkworks SA,18 de mayo del 2001
Alundra,,,
Alundra 2,,,
The Amazing Virtual Sea-Monkeys,Creature Labs,Kemco,19 de julio del 2002
American Deer Hunter,,,
American Pool,Midas Interactive,Midas Interactive,13 de junio de 2003
Amerzone,,,
Anastasia,Midas Interactive,Midas Interactive,12 de abril del 2001
Andretti Racing,,,
Angel Blade: Neo Tokyo Guardians,,,
Angel Eyes,,,
Angel Graffiti: Anathe no Profile,,,
Animal Football,,,
Animal Snap,,,
Animaniacs Ten Pin Alley,,,
Anime Chick Story 1: Card Captor Sakura,,,
Animorphs: Shattered Reality,,,
Anna Kournikova's Smash Court Tennis,Namco,SCEE,21 de julio del 2000
Ape Escape,Sony,Sony,31 de mayo de 1999 /24 de junio de 1999 /2 de julio de 1999
Apocalypse,Neversoft,Activision,13 de octubre de 1998
Aqua GT,East Point Software,Take 2 Interactive,26 de junio de 2001
Aquanaut's Holiday,,,
Aquanaut's Holiday: Memories of Summer 1996,,,
Arc the Lad,,,
Arc the Lad II,,,
Arc the Lad III,,,
Arc the Lad Collection,,,
Arc the Lad: Monster Game with Casino Game,,,
Arcade Party Pak,Digital Eclipse Software,Midway Games,23 de febrero del 2001
Arcade's Greatest Hits: Atari Collection 1,Digital Eclipse Software,Midway Games,Diciembre de 1997
Arcade's Greatest Hits: Atari Collection 2,,,
Arcade's Greatest Hits: Midway Collection 2,,,
Archer Mclean's 3D Pool,,,
Area 51,Mesa Logic,Midway Games,30 de noviembre de 2001
Ark of Time,,,
Arkanoid Returns,,,
Armored Core,From Software,SCEA,
Armored Core: Master of Arena,From Software,Agetec,
Armored Core: Project Phantasma,From Software,Agetec,
Armored Trooper Votoms: Lightning Slash,,,
Armorines: Project S.W.A.R.M.,Acclaim Studios London,Acclaim Entertainment,23 de noviembre de 2001
Army Men 3D,3DO,3DO,9 de marzo de 1999
Army Men: Air Attack,3DO,3DO,
Army Men: Air Attack 2,The 3DO Company,The 3DO Company,24 de noviembre del 2000
Army Men: Green Rogue,3DO,3DO,
"Army Men: Land, Sea, Air",The 3DO Company,The 3DO Company,3 de noviembre de 2000
Army Men: Lock 'n' Load,The 3DO Company,Infogrames,30 de marzo de 2001
Army Men: Omega Soldier,The 3DO Company,Infogrames,27 de abril del 2001
Army Men: Operation Meltdown,,,
Army Men: Sarge's Heroes,,,
Army Men: Sarge's Heroes 2,The 3DO Company,The 3DO Company,24 de noviembre del 2000
Army Men: Team Assault,The 3DO Company,The 3DO Company,30 de noviembre de 2001
Army Men: World War,,,
Army Men: World War - Final Front,,,
Arthur! Ready to Race,,,
Assault/Asalto,,,
Assault Rigs,,,
Assault: Retribution,,,
Asterix,,,
Asterix and Obelix Take on Caesar,,,
Asterix Mega Madness,Unique Development Studios,Infogrames,9 de agosto del 2002
Asteroids,,,
Asuka 120% Burning Fest. Final,,,
Asuka 120% Excellent: Burning Festival,,,
Asuka 120% Special Burning Fest,,,
Atari Anniversary Edition,,,28 de junio de 2001
Atari Anniversary Edition Redux,Digital Eclipse Software,Infogrames,8 de febrero de 2002
Atelier Marie,,,
Athena: Awakening From The Ordinary Life,,,
Atlantis: The Lost Continent,,,
Atlantis: The Lost Tales,,,
Attack of the Saucerman!,,,
ATV Mania,Gotham Games,Take 2 Interactive,27 de junio de 2003
ATV: Quad Power Racing,,,
ATV Racers,Midas Interactive,Bethesda Software,13 de junio de 2003
AubirdForce,,,
Austin Powers Pinball,Gotham Games,Take 2 Interactive,17 de octubre de 2002
Auto Destruct[1]​,Neurostone,Electronic Arts,28 de febrero de 1997
Ayrton Senna Kart Duel 2,,,
Azito 2,,,
Aztec: The Curse in the Heart of the City of Gold,,,
Azure Dreams,konami,Konami,13 de noviembre de 1997
Nombre del Juego Inglés / Español,Creador,Publicador,Fecha de Salida
B-Movie,,,noviembre de 1998
Baby Felix Tennis,,,2002
Baby Universe,,,
"Backguiner ~Yomigaeru Yuushatachi~ ""Guiner Tenshou""",,,
"Backguiner ACT-2 ~Yomigaeru Yuushatachi~ Hishou Hen ""Uragiri no Senjou""",,,
Backstreet Billiards,,,21 de noviembre de 1998
Backyard Football,,,
Backyard Soccer,,,
Bakuretsu Hunter: Mahjong Special,,,
Bakusou Dekotora Densetsu: Art Truck Battle,,,
Bakusou Kyoudai Let's & Go! Eternal Wings,,,
Baldies,,,1995
Baldy Land,,,
Ball Breakers,,,2000
Ballblazer Champions,,,
Ballerburg,,,
Ballistic,Mitchell Corporation,THQ,20 de octubre del 2000
Barbie Explorer,,,
Barbie Race and Ride,,,
Barbie Super Sports,,,
Barbie: Gotta Have Games,,,
Baroque,,,
Baseball 2000,,,
Bases Loaded '96,,,
Bass Fishing,,,
Bass Hunter,,,
Bass Landing,,,
Bass Rise,,,
Bastard!!,,,
Batman & Robin,,,..!Batmania Seco
Batman Beyond: Return of the Joker,Kemco,Ubisoft,"31 de diciembre del 2000 /Unión Europea, enero del 2001"
Batman Forever: The Arcade Game,Iguana Entertainment,Acclaim,1996
Batman: Gotham City Racer,,,
Battle Arena Toshinden,Tamsoft,Sony,1994 /1995
Battle Arena Toshinden 2,Tamsoft,Takaraand Toshiaki Ota,1996
Battle Arena Toshinden 2 Plus,,,
Battle Arena Toshinden 3,Tamsoft,,27 de diciembre de 1996 /31 de enero de 1997 /marzo de 1997
Battle Arena Toshinden 4,Tamsoft,,Japón/Unión Europea
Battle Hunter,Agetec,Tommo,1 de junio de 2001
BattleSport,,,
Battle Stations,,,
Battletanx: Global Assault,,,
Beach Volleyball/Voleibol de Playa,,,
Bear In The Big Blue House,,,
Beast Wars,,,
Beast Wars: Transformers,,,
Beatmania,,,
Beatmania Append 3rd Mix,,,
Beatmania Append 4th Mix,,,
